source,target,KappaScore
GO:0002731,GO:0002373,1
GO:0002736,GO:0002373,1
GO:0002736,GO:0002373,0.5
GO:0002736,GO:0002731,1
GO:0002737,GO:0002373,1
GO:0002737,GO:0002373,0.5
GO:0002737,GO:0002731,1
GO:0002737,GO:0002731,2
GO:0002737,GO:0002736,1
GO:0002737,GO:0002736,2
GO:0006233,GO:0004798,1
GO:0014860,GO:0014852,1
GO:0014860,GO:0014852,0.5
GO:0017153,GO:0015741,1
GO:0021808,GO:0021806,1
GO:0021808,GO:0021806,0.5
GO:0032381,GO:0032378,1
GO:0032381,GO:0032378,2
GO:0032384,GO:0032378,1
GO:0032384,GO:0032381,1
GO:0032384,GO:0032381,2
GO:0033389,GO:0033388,1
GO:0033389,GO:0033388,2
GO:0033626,GO:0021806,1
GO:0033626,GO:0021808,1
GO:0033862,GO:0004798,1
GO:0033862,GO:0006233,1
GO:0034345,GO:0034344,1
GO:0034345,GO:0034344,2
GO:0034443,GO:0034442,1
GO:0034443,GO:0034442,2
GO:0035394,GO:0035393,1
GO:0035394,GO:0035393,0.5
GO:0035395,GO:0035393,1
GO:0035395,GO:0035393,0.5
GO:0035395,GO:0035394,1
GO:0035395,GO:0035394,2
GO:0035585,GO:0021806,1
GO:0035585,GO:0021808,1
GO:0035585,GO:0033626,1
GO:0035712,GO:0035708,1
GO:0036155,GO:0036153,1
GO:0036155,GO:0036153,2
GO:0036430,GO:0004798,1
GO:0036430,GO:0006233,1
GO:0036430,GO:0033862,1
GO:0036431,GO:0004798,1
GO:0036431,GO:0006233,1
GO:0036431,GO:0033862,1
GO:0036431,GO:0036430,1
GO:0038097,GO:0009444,1
GO:0045796,GO:0010949,1
GO:0046072,GO:0004798,1
GO:0046072,GO:0006233,1
GO:0046072,GO:0006233,2
GO:0046072,GO:0033862,1
GO:0046072,GO:0036430,1
GO:0046072,GO:0036431,1
GO:0060335,GO:0060332,1
GO:0060335,GO:0060332,2
GO:0060587,GO:0034442,1
GO:0060587,GO:0034442,2
GO:0060587,GO:0034443,1
GO:0060588,GO:0034442,1
GO:0060588,GO:0034443,1
GO:0060588,GO:0034443,2
GO:0060588,GO:0060587,1
GO:0060588,GO:0060587,2
GO:0060752,GO:0010949,1
GO:0060752,GO:0010949,0.5
GO:0060752,GO:0045796,1
GO:0060827,GO:0060823,1
GO:0060827,GO:0060823,0.5
GO:0060829,GO:0060823,1
GO:0060829,GO:0060823,0.5
GO:0060829,GO:0060827,1
GO:0060829,GO:0060827,2
GO:0060930,GO:0060823,1
GO:0060930,GO:0060827,1
GO:0060930,GO:0060829,1
GO:0061402,GO:0015817,1
GO:0070106,GO:0045509,0.5
GO:0071881,GO:0070473,1
GO:0071882,GO:0070473,1
GO:0071882,GO:0071881,1
GO:0072308,GO:0034240,1
GO:0140581,GO:0043682,1
GO:1900279,GO:0035708,1
GO:1900279,GO:0035712,1
GO:1900281,GO:0035708,1
GO:1900281,GO:0035712,1
GO:1900281,GO:1900279,1
GO:1900281,GO:1900279,2
GO:1904323,GO:0060182,1
GO:1904325,GO:0060182,1
GO:1904325,GO:1904323,1
GO:1904325,GO:1904323,2
GO:1904479,GO:0010949,0.790697674
GO:1904479,GO:0045796,0.790697674
GO:1904479,GO:0060752,0.790697674
GO:1904479,GO:1901738,0.485714286
GO:1904730,GO:0010949,1
GO:1904730,GO:0010949,2
GO:1904730,GO:0045796,1
GO:1904730,GO:0045796,2
GO:1904730,GO:0060752,1
GO:1904730,GO:1904479,0.790697674
GO:1904730,GO:1904479,2
GO:1905243,GO:0036153,1
GO:1905243,GO:0036155,1
GO:1905596,GO:0032378,1
GO:1905596,GO:0032381,1
GO:1905596,GO:0032384,1
GO:1905601,GO:0032378,1
GO:1905601,GO:0032381,1
GO:1905601,GO:0032384,1
GO:1905601,GO:0032384,2
GO:1905601,GO:1905596,1
GO:2000098,GO:0034442,1
GO:2000098,GO:0034443,1
GO:2000098,GO:0060587,1
GO:2000098,GO:0060588,1
GO:2000408,GO:0045509,1
GO:2000485,GO:0015817,1
GO:2000485,GO:0061402,1
GO:2000487,GO:0015817,1
GO:2000487,GO:0061402,1
GO:2000487,GO:2000485,1
GO:2000487,GO:2000485,2
GO:2000567,GO:0035708,1
GO:2000567,GO:0035712,1
GO:2000567,GO:1900279,1
GO:2000567,GO:1900281,1
GO:2000568,GO:0035708,1
GO:2000568,GO:0035712,1
GO:2000568,GO:1900279,1
GO:2000568,GO:1900281,1
GO:2000568,GO:2000567,1
GO:2000568,GO:2000567,2
GO:2000569,GO:0035708,1
GO:2000569,GO:0035712,1
GO:2000569,GO:0035712,0.5
GO:2000569,GO:1900279,1
GO:2000569,GO:1900281,1
GO:2000569,GO:2000567,1
GO:2000569,GO:2000568,1
GO:2000570,GO:0035708,1
GO:2000570,GO:0035712,1
GO:2000570,GO:0035712,0.5
GO:2000570,GO:1900279,1
GO:2000570,GO:1900281,1
GO:2000570,GO:2000567,1
GO:2000570,GO:2000568,1
GO:2000570,GO:2000569,1
GO:2000570,GO:2000569,2
GO:2000571,GO:0035708,1
GO:2000571,GO:0035708,0.5
GO:2000571,GO:0035712,1
GO:2000571,GO:1900279,1
GO:2000571,GO:1900281,1
GO:2000571,GO:2000567,1
GO:2000571,GO:2000568,1
GO:2000571,GO:2000569,1
GO:2000571,GO:2000570,1
GO:2000572,GO:0035708,1
GO:2000572,GO:0035708,0.5
GO:2000572,GO:0035712,1
GO:2000572,GO:1900279,1
GO:2000572,GO:1900281,1
GO:2000572,GO:2000567,1
GO:2000572,GO:2000568,1
GO:2000572,GO:2000569,1
GO:2000572,GO:2000570,1
GO:2000572,GO:2000571,1
GO:2000572,GO:2000571,2
